video_id,comment_id,text,like_count_x,published_at,reply_count,word_count,text_clean,title,channel,view_count,like_count_y,wc,aspect,sentiment,intent
kNWg7AxUmuA,Ugw_VhDH1wW7At5PskR4AaABAg,"Great honest appraisal. I have both an iPhone air and Samsung Fold 8 along with the respective ultra watches for both and the earbuds. The air is amazing for making phone calls,camera is poor, battery ok ish, as an iPhone is spot on. The Fold 8 form factor is brilliant. For phone calls it&#39;s size and form factor are ok, cameras are ok , video and gaming next level. Get it anywhere near dirt or grit and it will get in the hinge. You end up with water and using a plastic £20 note to clean it (actual seed packets are the best to get in the gap) As you said depends what you are are going to use it for. Then there is the price point...",0,2026-09-10T16:06:32Z,0,127,"great honest appraisal. i have both an iphone air and Galaxy Z Fold 6 8 along with the respective ultra watches for both and the earbuds. the air is amazing for making phone calls,camera is poor, battery ok ish, as an iphone is spot on. the fold 8 form factor is brilliant. for phone calls it's size and form factor are ok, cameras are ok , video and gaming next level. get it anywhere near dirt or grit and it will get in the hinge. you end up with water and using a plastic £20 note to clean it (actual seed packets are the best to get in the gap) as you said depends what you are are going to use it for. then there is the price point.",iPhone Duo reality check!,C. Scott Brown,130587,2631,129,comparison_samsung,neutral,unknown
YQnZAZEZyW8,UgwtECiPkHwxPGvnrjZ4AaABAg,"i have watch apple event och the Price of Iphone duo is for 256gb is $1,999dollar, 519gb is $2,199dollar, 1tb is $2,599dollar, and last the 2tb will cost $2,999dollar. <br><br>the price of samsung galaxy fold 8 and 8 ultra to Iphone duo is $100-$200dollar so there is almost no difference between the two in price.",2,2026-09-09T22:34:44Z,0,56,"i have watch apple event och the price of iPhone Duo is for 256gb is $1,999dollar, 519gb is $2,199dollar, 1tb is $2,599dollar, and last the 2tb will cost $2,999dollar. the price of samsung galaxy fold 8 and 8 ultra to iPhone Duo is $100-$200dollar so there is almost no difference between the two in price.","iPhone Duo First Look: The $2,000 Foldable iPhone!",UrAvgConsumer,1386918,12372,55,price,neutral,unknown
xifeRNVfnx4,Ugwn6kBvOovyPwRMwjN4AaABAg,"El iPhone dúo soporta carga MagSafe? O es solo por cable usb c? El modo de mesa de noche funciona sin estar enchufado a la electricidad? Muchas gracias, excelente trabajo, saludos! 👋 😉",0,2026-09-10T04:33:45Z,0,33,"el iphone dúo soporta carga magsafe? o es solo por cable usb c? el modo de mesa de noche funciona sin estar enchufado a la electricidad? muchas gracias, excelente trabajo, saludos!","Probando el iPhone Duo, iPhone 18 Pro y Más!",Tech Santos,891482,21051,31,SKIPPED,SKIPPED,SKIPPED
6D__H_DO2Xk,UgzAFJ1bZjhZGuyLTG14AaABAg,"The US price doesn&#39;t include tax, the UK price includes 20% VAT - still more expensive, but it&#39;s always been that way, £ price usually matches the $ before tax price.",281,2026-09-12T21:53:28Z,34,31,"the us price doesn't include tax, the uk price includes 20% vat - still more expensive, but it's always been that way, £ price usually matches the $ before tax price.",iPhone Duo: What We Missed!,Marques Brownlee,6133887,100570,31,price,neutral,unknown
SusdlmIWiyc,Ugwp0_enGXpCnSmSTvR4AaABAg,"THANKS for showing and testing how typing feels like, first video where I can see a bit of that",23,2026-09-11T06:02:45Z,2,19,"thanks for showing and testing how typing feels like, first video where i can see a bit of that",iPhone Duo Hands-On! New Features + Camera Test,Katarina Mogus,195679,3902,19,none / general,positive,unknown
XRKjMvfYV0o,UgwIABfIkKcR9Od6PIp4AaABAg,Just that animation alone is amazing.,24,2026-09-10T06:43:37Z,0,6,just that animation alone is amazing.,iPhone Duo Hands-On - What You NEED to Know!,The Tech Chap,1269878,8878,6,foldable_design,positive,unknown
VNzl-q0EGfg,UgxNnPbF21vbaHNV-MV4AaABAg,"Awesome video, with a billion tech channels, on YouTube this feels genuinely unique",1,2026-09-10T08:44:51Z,0,13,"awesome video, with a billion tech channels, on youtube this feels genuinely unique",I Tested Apple's New FOLDABLE iPhone Duo,Joanna Stern,555070,10857,13,none / general,positive,unknown
zAKTyrxvj7g,UgyVBN7ZRIPce1NOaId4AaABAg,"They took this long to release the first fold and messed <a href=""http://up.wtf/"">up.wtf</a> is this?",0,2026-09-10T00:00:32Z,0,15,they took this long to release the first fold and messed up.wtf is this?,iPhone Duo - Hands-On,SuperSaf,907627,10079,14,foldable_design,negative,not_buying
P6x5bFbdfao,UgzI4Ed5oKNr4dSrsBZ4AaABAg,"Not curved on one side will make it easier to hold, and makes it opened up look perfect",2,2026-09-09T20:57:44Z,0,18,"not curved on one side will make it easier to hold, and makes it opened up look perfect",Is the iPhone Duo Worth It?,Austin Evans,360620,9156,18,foldable_design,positive,unknown
0tByRTONOrA,Ugwc5hHibcf9zFNoGRN4AaABAg,Ankur Warikoo: CRORE! <br>wahi unka favorite word hai,47,2026-09-10T01:02:41Z,0,8,ankur warikoo: crore! wahi unka favorite word hai,Apple iPhone 18 Pro & iPhone Duo Price #shorts,Gyan Therapy,1489849,61199,8,SKIPPED,SKIPPED,SKIPPED
