aspect,n,mean_sentiment,ci_lo,ci_hi,pos_rate,neg_rate
upgrade,1040,0.155,0.12,0.191,0.26,0.105
multitasking,197,0.142,0.061,0.218,0.234,0.091
ecosystem,1099,0.137,0.108,0.167,0.209,0.072
camera,3169,0.133,0.115,0.152,0.21,0.077
battery,749,0.111,0.072,0.151,0.206,0.095
foldable_design,4478,0.089,0.073,0.105,0.183,0.094
ai_siri,4769,0.086,0.072,0.1,0.156,0.07
performance,1298,0.084,0.061,0.109,0.154,0.07
price,2591,0.075,0.052,0.102,0.235,0.16
comparison_samsung,3376,0.074,0.057,0.091,0.158,0.084
display,1835,0.065,0.043,0.088,0.175,0.11
durability,526,-0.196,-0.253,-0.139,0.137,0.333
